name,feature_types,detail_text,see_also,source_page
FORJA,cantero central,"Ley N° 897-2002, BO Nº 1.545. Fuerza de Orientación Radical de la Joven Argentina: movimiento político surgido de la Unión Cívica Radical y creado el 29 de junio de 1935 por Arturo Jauretche, Homero Manzi y otros, con la finalidad de reivindicar el ideario de Hipólito Yrigoyen; su primer presidente es el doctor Luís Dellepiane. Su proclama “somos una Argentina colonial, queremos ser una Argentina Libre” tendrá particular importancia entre la fecha de su creación y el año 1945, cuando muchos de sus miembros se integran al naciente movimiento peronista.",,182
"FOUILLER, FÉLIX O.",calle,"Ordenanza N° 16.331-1960, BM N° 11.405. Félix O. Fouiller (1882-1937), periodista y funcionario; secretario del intendente Cantilo; fundador y presidente de la Biblioteca Domingo F. Sarmiento de Villa Pueyrredón, barrio en el cual, junto con el de Villa Urquiza, desarrolla su labor ciudadana. Funda en 1931 el vespertino Tribuna Libre.",,183
"GAGLIARDI, HÉCTOR",plazoleta,"Ordenanza N° 52.134-1997, BO N° 396. Héctor Francisco Gagliardi (1909-1984), poeta popular que canta con claridad y sentimiento a la ciudad de Buenos Aires; sus versos son, aún hoy, un documento que describe una época. Debuta en 1941 en Radio Belgrano con Azucena Maizani, Tito Tori y Antonio Volpe; recita infinidades de poemas, como Barrio Sur, El Viejo Almacén, Las comadres, El triste.",,188
"GÁLVEZ, JUAN",cantero central,"Ordenanza N° 52.158-1997, BO N° 392. Juan Gálvez (1916-1963), automovilista; con su hermano Oscar dominan por más de una década el automovilismo argentino; entre 1950 y 1960 obtuvo 59 triunfos y cinco grandes premios; es considerado el primer estratega “científico” del volante en la Argentina.",,189
"GARCÍA, JUAN AGUSTÍN",plaza,"Denominación impuesta por el Banco Hipotecario Nacional, donante de esta plaza. Juan Agustín García (1831-1907), jurisconsulto, padre del autor de La Ciudad Indiana; director del Banco Nacional en 1885 y poco después primer director del Banco Hipotecario Nacional.",,192
"GARZA, LA",calle,Ordenanza N° 1.424 del 30-12-1925. Garza: nombre de varias aves ciconiformes de la familia de las Ardeidas que habitan en esteros y bañados.,,194
"GIACHINO, CAPITÁN DE FRAGATA PEDRO EDGARDO",calle,"Ordenanza N° 47.451-1993, BM N° 19.870. Pedro Edgardo Giachino (1947-1982), militar; primer soldado muerto en acción, durante la recuperación de las Islas Malvinas el 2 de abril de 1982.",,196
"GIL, FRANCISCO",cantero central,"Ley Nº 2.397-2007, BO Nº 2.765. Francisco Gil (1915-1997), librero de origen español. Desarrolla una intensa actividad en la librería El Ateneo y en la Sociedad Argentina de Escritores; promueve en el barrio de Nueva Pompeya peñas culturales, muestras artísticas y encuentros de historiadores. En el año 1997 la Secretaría de la Nación lo declara Librero Mayor de Buenos Aires.",,196
"GIRONDO, OLIVERIO",cantero central,"Ordenanza N° 45.022-1991, BM N° 19.097, modificada por Ordenanza N° 50.154-1995, BM N° 20.210. Oliverio Girondo (1891-1967), poeta; autor de Veinte poemas para ser leídos en el tranvía, Calcomanías, Espantapájaros (al alcance de todos), Interludio y En la masmédula.",,197
"GÓMEZ CARRILLO, MANUEL",plazoleta,"Ordenanza N° 39.257-1983, BM N° 17.083. Manuel Gómez Carrillo (1883-1968), musicólogo; compositor y folclorista autor de Rapsodia santiagueña, La telesita y Fiesta criolla.",,199
"GRANDE, DORA DEL",cantero central,"Ordenanza N° 45.305-1991, BM N° 19.182. Agustina Dora del Grande (1909-1966), primera bailarina del Teatro Colón; docente y coreógrafa.",,204
